nom,surnom,equipage,prime
Drophy,Town-Collapser,Baroque Works,14000000
Gem,of the Border,Baroque Works,10000000
Mikita,Courier,Baroque Works,7500000
Boa Hancock,Pirate Empress,Pirates Kuja,1659000000
Boa Sandersonia,,Pirates Kuja,40000000
Boa Marigold,,Pirates Kuja,40000000
Fisher Tiger,Adventurer,Pirates du Soleil,230000000
Arlong,Saw-Tooth,Pirates du Soleil,20000000
Hatchan,,Pirates du Soleil,8000000
Kuroobi,,Pirates du Soleil,9000000
Chew,,Pirates du Soleil,5500000
Trafalgar Law,Surgeon of Death,Pirates du Coeur,3000000000
Bepo,,Pirates du Coeur,1500
Donquixote Doflamingo,Heavenly Yaksha,Pirates de Donquixote,340000000
X Drake,Red Flag,Worst Generation,222000000
Jewelry Bonney,Big Eater,Worst Generation,320000000
Urouge,Mad Monk,Worst Generation,108000000
Eustass Kid,Captain,Pirates de Kid,3000000000
Killer,Massacre Soldier,Pirates de Kid,200000000
Capone Bege,Gang,Pirates du Reservoir de Feu,350000000
Vito,Monster Gun,Pirates du Reservoir de Feu,95000000
Gotti,,Pirates du Reservoir de Feu,90000000
Kuro,Of a Hundred Plans,Pirates du Chat Noir,16000000
Jango,The Hypnotist,Pirates du Chat Noir,9000000
Bluejam,,Pirates de Bluejam,14300000
Porchemy,,Pirates de Bluejam,3400000
